브랜드,제품,제품명,용량,가격,지성,건성,민감성,특징,효능,특징2,,,지성,건성,민감성
네쉬,샴푸,네쉬 바이옴 스칼프 밸런싱 샴푸 480ml,480,26000,멘톨,"부틸렌글라이콜, 토코페롤, 비타민E, 아스코빅애씨드, 비타민C, 판테놀, 디판테놀",,,,"1-2번, 2번, 9번",쿨링효과.탈모,,"수렴 및 진정,쿨링 효과","강력보습,부드러운 모발,피부 재생,탄력,노화 방지,컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가",
닥터포헤어,샴푸,닥터포헤어 폴리젠 셀 에너지 탈모 완화 샴푸 500ml,500,43000,"멘톨, 살리살릭애씨드, 살리실산, 캠퍼","글리세린, 판테놀, 디판테놀, 부틸렌글라이콜, 뽕나무껍질추출물, 달맞이꽃추출물","루틴, 비타민P",,,"2번, 9번, 10번",쿨링효과.탈모탈모,,"수렴 및 진정,쿨링 효과,피지 조절","보습력 증가,컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가,강력보습,발모,수분 증발 방지",혈관 강화
로마,샴푸,로마 너리싱 샴푸 355ml,355,34000, ,"글리세린, 판테놀, 디판테놀, 토코페롤, 비타민E, 아보카도오일",알로에베라잎즙,,,"1-2번, 10번",건성.민감성,,,"보습력 증가,컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가,부드러운 모발,수분 증발 방지",예민현상 진정
굿타임포키즈,샴푸,굿타임포키즈 샴푸 500ml,500,36000,알란토인,"글리세린, 부틸렌글라이콜, 판테놀, 디판테놀",알란토인,,,"1-2번, 2번, 10번",건성.탈모.민감성,,수렴 및 진정,"보습력 증가,강력보습,컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가",수렴 및 진정
어반앤,샴푸,어반앤 버블 샴푸 포 리프레싱 스칼프 500ml,500,28000,,"글리세린, 부틸렌글라이콜",,,,,건성,,,"보습력 증가,강력보습",
닥터시드,샴푸,닥터시드 블랙빈 비건 탈모 샴푸 1000ml,1000,19800,"살리실릭애씨드 살리실산, 알란토인","부틸렌글라이콜, 글리세린",알란토인,,,"1-1번, 2번",지성.탈모탈모.민감성,,"피지 조절 피지 조절,수렴 및 진정","강력보습,보습력 증가",수렴 및 진정
퓨라도르,샴푸,퓨라도르 오리지널 골드라벨 안티헤어 씨닝 샴푸 473ml,473,35900,,"토코페롤, 비타민E",알로에베라잎즙,,,2번,건성.민감성,,,부드러운 모발,예민현상 진정
프라브아,샴푸,프라브아 엑스 샴푸 480ml,480,33000,"살리실릭애씨드, 살리실산","부틸렌글라이콜, 토코페롤, 비타민E",,,,1-1번,건성,,피지 조절,"강력보습,부드러운 모발",
닥터그루트,샴푸,닥터그루트 제이 몬스터즈 두피 정화 샴푸 400ml,400,22000,"살리실릭애씨드, 살리실산, 멘톨, 티타늄디옥사이드, 티타늄다이옥사이드","글리세린, 판테놀, 디판테놀, 캐모마일꽃수, 부틸렌글라이콜","캐모마일꽃수, 티타늄디옥사이드, 티타늄다이옥사이드",,,9번,쿨링효과.탈모,,"피지 조절,수렴 및 진정,쿨링 효과,자외선 차단","보습력 증가,컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가,습윤,강력보습","예민현상 진정,자외선 차단"
시카트리,샴푸,시카트리 탈모증상 완화 기능성 샴푸 블랙 500ml,500,31000,"멘톨, 살리실릭애씨드, 살리실산, 감초뿌리추출물","글리세린, 판테놀, 디판테놀",,,,9번,쿨링효과.탈모탈모,,"수렴 및 진정,쿨링 효과,피지 조절,살균 및 향염","보습력 증가,컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가",
칼앤한스,샴푸,칼앤한스 보타닉 샴푸 390ml,390,20000,,"마트리카리아꽃추출물, 글리세린, 부틸렌글라이콜",마트리카리아꽃추출물,,,"1-2번, 2번",건성.민감성,,,"습윤,예민현상 진정,보습력 증가,강력보습",예민현상 진정
에퓨놀,샴푸,에퓨놀 바이옴 샴푸 500ml,500,35000,"살리실릭애씨드, 살리실산","부틸렌글라이콜, 달맞이꽃추출물, 글리세린",,,,1-2번,건성,,피지 조절,"강력보습,수분 증발 방지,보습력 증가",
닥터바이오,샴푸,닥터파이오 랩업 샴푸 750ml,750,20900,,"글리세린, 부틸렌글라이콜, 소듐하이알루로네이트",,,,1-2번,건성,,,"보습력 증가,강력보습",
려,샴푸,려 본초진 탈모증상완화 샴푸 353ml,353,17900,,"캐모마일꽃오일, 토코페롤, 비타민E, 글리세린",캐모마일꽃오일,,,"1-2번, 2번",건성.민감성.탈모탈모,,,"습윤,예민현상 진정,부드러운 모발,보습력 증가",예민현상 진정
리솔츠,샴푸,리솔츠 리추얼 스칼프 스케일링 샴푸바 90g,90,21000,,"판테놀, 디판테놀, 마트리카리아꽃추출물, 마트리카리아꽃추출물",,,,"1-2번, 3번, 10번",건성.탈모,,,"컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가,습윤,예민현상 진정",
앰플브라운,샴푸,앰플브라운 앰플브러쉬 괄사 헤어워시바 100g,100,17000,,"글리세린, 부틸렌글라이콜, 판테놀, 디판테놀",,,,"1-2번, 10번",건성.탈모,,,"보습력 증가,강력보습,컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가",
브로앤팁스,샴푸,브로앤팁스 알파비오틴 뿌리볼륨 탈모샴푸 500ml,500,28000,"알란토인, 살리실릭애씨드, 살리실산","판테놀, 디판테놀, 토코페롤, 비타민E",알란토인,,,"1-1번, 2번, 3번, 10번",지성.탈모탈모.민감성,,"수렴 및 진정,피지 조절","컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가,부드러운 모발",수렴 및 진정
브이헤어엑스퍼트,샴푸,브이헤어엑스퍼트 더마 탈모완화 케어 샴푸 480ml,480,19900,"살리실릭애씨드, 살리실산","부틸렌글라이콜, 글리세린, 토코페롤, 비타민E",,,,1-2번,건성.탈모탈모,,피지 조절,"강력보습,보습력 증가,부드러운 모발",
아베다,샴푸,아베다 로즈메리 민트 퓨리파잉 샴푸 250ml,250,28000,"캠퍼, 멘톨",글리세린,,,,"1-1번, 9번",쿨링효과,,"수렴 및 진정,쿨링 효과",보습력 증가,
헤어올로지,샴푸,헤어올로지 비건 두피케어 탈모샴푸 500ml,500,65000,,부틸렌글라이콜,,,,,건성.탈모탈모,,,강력보습,
씨스팡,샴푸,씨스팡 나호 샴푸 400ml,400,59000,"포트마리골드추출물, 금잔화추출물, 맨톨, 살리실릭애씨드, 살리실산","마트리카리아꽃추출물, 마트리카리아잎추출물, 글리세린, 판테놀, 디판테놀, 부틸렌글라이콜","마트리카리아꽃추출물, 마트리카리아잎추출물, 알로에베라잎추출물",,,"1-1번, 3번, 9번",지성.쿨링효과.탈모.민감성,,"살균 및 향염,수렴 및 진정,쿨링 효과,피지 조절","습윤,예민현상 진정,보습력 증가,컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가,강력보습",예민현상 진정
리비긴,샴푸,"리비긴 수렴 및 진정,비듬 제거 샴푸 320ml",320,19000,"녹차수, 멘톨","글리세린, 부틸렌글라이콜",,,,"1-1번, 9번",지성.쿨링효과,,"수렴 및 진정,비듬 제거,쿨링 효과","보습력 증가,강력보습",
리비긴,샴푸,리비긴 편백수 샴푸 320ml,320,19000,멘톨,"글리세린, 달맞이꽃추출물, 부틸렌글라이콜",,,,9번,쿨링효과,,"수렴 및 진정,쿨링 효과","보습력 증가,수분 증발 방지,강력보습",
브로앤팁스,샴푸,브로앤팁스 알파비오틴 지성두피 탈모샴푸 500ml,500,28000,멘톨,"부틸렌글라이콜, 토코페롤, 비타민E",,,,9번,지성.쿨링효과.탈모탈모.,,"수렴 및 진정,쿨링 효과","강력보습,부드러운 모발",
헤어플러스,샴푸,헤어플러스 컬러본드 보색 샴푸 300ml,300,43800,감초뿌리추출물,부틸렌글라이콜,,,,,건성,,살균 및 향염,강력보습,
로픈,샴푸,로픈 바오밥 탈모증상완화 샴푸 1000ml,1000,22500,"살리실릭애씨드, 살리실산","소듐하이알루로네이트, 글리세린, 판테놀, 디판테놀, 부틸렌글라이콜",,,,10번,건성.탈모탈모,,피지 조절,"강력보습,보습력 증가,컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가",
라보에이치,샴푸,라보에이치 탈모증상완화 두피강화 스킨샴푸바 80g,80,17900,,"부틸렌글라이콜, 캐모마일꽃오일, 토코페롤, 비타민E",캐모마일꽃오일,,,2번,건성.민감성.탈모탈모,,,"강력보습,습윤,예민현상 진정,부드러운 모발",예민현상 진정
에템,샴푸,에템 시카 탈모증상완화 샴푸 500ml,500,25800,"멘톨, 살리실릭애씨드, 살리실산","글리세린, 판테놀, 디판테놀, 뽕나무껍질추출물",,,,"1-1번, 9번, 10번",지성.쿨링효과.탈모탈모,,"수렴 및 진정,쿨링 효과,피지 조절","보습력 증가,컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가,발모",
올랩,샴푸,올랩 퍼펙트 그린 탈모 증상 완화 샴푸 389ml,389,32000,멘톨,"부틸렌글라이콜, 토코페롤, 비타민E",,,,9번,쿨링효과.탈모탈모,,"수렴 및 진정,쿨링 효과","강력보습,부드러운 모발",
모레모,트리트먼트,모레모 헤어 트리트먼트 미라클 2X 480ml,480,39000,글라이콜릭애씨드,"글리세린, 부틸렌글라이콜, 프로필렌글라이콜, 뽕나무껍질추출물, 아보카도오일",,,,1-2번,건성,,"각질감소,수분 흡수율 증가","보습력 증가,강력보습,발모,수분 증발 방지",
닥터올가,트리트먼트,닥터올가 아르간 트리트먼트헤어팩 210ml,210,27000,,"글리세린, 달맞이꽃오일, 부틸렌글라이콜, 토코페롤, 비타민E",알로에베라잎추출물,,,"1-2번, 2번, 10번",건성.민감성,,,"보습력 증가,수분 증발 방지,강력보습,부드러운 모발","예민현상 진정,"
나드,트리트먼트,나드 센시티브 두피 케어 트리트먼트 500ml,500,24000,멘톨,"프로필렌글라이콜, 판테놀, 디판테놀, 부틸렌글라이콜, 마트리카리아꽃추출물, 글리세린, 소듐하이알루로네이트",마트리카리아꽃추출물,,,"2번, 9번, 10번",쿨링효과.탈모.민감성,,"수렴 및 진정,쿨링 효과","강력보습,컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가,습윤,예민현상 진정,보습력 증가",예민현상 진정
모레모,트리트먼트,모레모 워터 트리트먼트 미라클 10 480ml,480,49000,,"부틸렌글라이콜, 프로필렌글라이콜, 글리세린",,,,1-2번,건성,,,"강력보습,보습력 증가",
투쿨포스쿨,헤어팩,투쿨포스쿨 에그 레미디 헤어팩 200g,200,15000,녹차수,"글리세린, 프로필렌글라이콜, 아보카도오일, 시어버터, 소듐피씨에이, 부틸렌글라이콜",,,,1-2번,건성,,"수렴 및 진정,비듬 제거","보습력 증가,강력보습,수분 증발 방지",
라보에이치,트리트먼트,라보에이치 프로바이오틱스 스칼프 캡슐 트리트먼트 200ml,200,20000,,"글리세린, 판테놀, 디판테놀, 부틸렌글라이콜, 캐모마일꽃오일, 토코페롤, 비타민E",캐모마일꽃오일,,,"1-2번, 2번, 10번",건성.탈모.민감성,,,"보습력 증가,컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가,강력보습,습윤,예민현상 진정,부드러운 모발",예민현상 진정
로레알파리,헤어팩,로레알파리 토탈리페어5 인스턴트 미라클 헤어팩 170ml,170,9900,,글리세린,,,,1-2번,건성,,,보습력 증가,
힐링버드,트리트먼트,힐링버드 울트라 프로틴 노워시 앰플 트리트먼트 200ml,200,24000,,"아보카도오일, 소듐하이알루로네이트, 글리세린, 부틸렌글라이콜",,,,1-2번,건성,,,"수분 증발 방지,강력보습,보습력 증가",
헤어플러스,트리트먼트,헤어플러스 단백질 본드 트리트먼트 700ml,700,42000,,"판테놀, 디판테놀, 프로필렌그라이콜, 부틸렌글라이콜",알로에베라잎추출물,,,"1-2번, 2번, 10번",건성.탈모.민감성,,,"컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가,강력보습",예민현상 진정
리비긴,트리트먼트,리비긴 오트 프로틴 트리트먼트 120ml,120,19000,,"글리세린, 토코페롤, 비타민E, 부틸렌글라이콜",,,,1-2번,건성,,,"보습력 증가,부드러운 모발,강력보습",
제니하우스,트리트먼트,제니하우스 실크 휘핑 트리트먼트 200ml,200,39000,,"소듐하이알루로네이트, 부틸렌글라이콜, 프로필렌글라이콜",,,,1-2번,건성,,,강력보습,
셀리그램,트리트먼트,셀리그램 스칼프 인 리커버리 리페어 트리트먼트 200ml,200,25900,"살리실릭애씨드, 살리실산","프로필렌글라이콜, 글리세린, 부틸렌글라이콜",,,,,건성,,피지 조절,"강력보습,보습력 증가",
어노브,트리트먼트,어노브 딥 데미지 헤어 트리트먼트 EX 40ml,40,7000,,"글리세린, 부틸렌글라이콜, 프로필렌글라이콜, 뽕나무껍질추출물, 아보카도오일",,,,10번,건성.탈모,,,"보습력 증가,강력보습,발모,수분 증발 방지",
닥터지,트리트먼트,닥터지 두피랩 마사지 트리트먼트 300ml,300,20000,"살리실릭애씨드, 살리실산","프로필렌글라이콜, 부틸렌글라이콜, 아보카도오일, 토코페롤, 비타민E, 엘라스틴",,,,,건성,,피지 조절,"강력보습,수분 증발 방지,부드러운 모발,수분 증가",
로픈,트리트먼트,로픈 바오밥 헤어 트리트먼트 플러스 1000ml,1000,13380,감초뿌리추출물,"판테놀, 디판테놀, 아보카도오일, 캐모마일꽃추출물, 뽕나무껍질추출물","알로에베라잎추출물, 캐모마일꽃추출물",,,"2번, 10번",건성.탈모.민감성,,살균 및 향염,"컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가,수분 증발 방지,습윤,예민현상 진정,발모",예민현상 진정
편강율,트리트먼트,편강율 약산성 두피 트리트먼트 500ml,500,34000,멘톨,"프로필렌글라이콜, 판테놀, 디판테놀, 부틸렌글라이콜, 글리세린",,,,"9번, 10번",쿨링효과.탈모,,"수렴 및 진정,쿨링 효과","강력보습,컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가,보습력 증가",
마녀공장,트리트먼트,마녀공장 바이옥실 안티 헤어로스 트리트먼트 200ml,200,28000,멘톨,"프로필렌글라이콜, 부틸렌글라이콜, 판테놀, 디판테놀, 글리세린, 토코페롤, 비타민E",,,,"9번, 10번",쿨링효과.탈모탈모,,"수렴 및 진정,쿨링 효과","강력보습,컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가,보습력 증가,부드러운 모발",
이브로쉐,트리트먼트,이브로쉐 리프레쉬 헤어식초 [모링가] 150ml,150,11900,,,,,,,건성,,,,
헤드스파7,트리트먼트,헤드스파7 트리트먼트 파란눈 200ml,200,30000,"멘톨, 살리실릭애씨드, 살리실산, 감초뿌리추출물, 레몬추출물","프로필렌글라이콜, 판테놀, 디판테놀, 부틸렌글라이콜, 글리세린",,,,"9번,  10번",쿨링효과.탈모,,"수렴 및 진정,쿨링 효과,피지 조절,살균 및 향염","강력보습,컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가,보습력 증가",
비욘드,트리트먼트,비욘드 프로페셔널 디펜스 트리트먼트 500ml,500,31000,,"글리세린, 판테놀, 디판테놀, 부틸렌글라이콜, 토코페롤, 비타민E",,,,"1-2번, 10번",건성.탈모,,,"보습력 증가,컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가,강력보습,부드러운 모발",
에이로브,트리트먼트,에이르보 10 블룸오브샤론 리페어 헤어마스크 200ml,200,30000,"홍차추출물, 백차추출물","부틸렌글라이콜, 판테놀, 디판테놀, 아보카도오일",알로에베라잎추출물,,,"1-2번, 2번, 10번",건성.탈모.민감성,,수렴 및 진정,"강력보습,컨디셔닝,피부 보습효과,탈모량 감소,모발 두께 증가,수분 증발 방지",예민현상 진정
퓨레드2,흑채,퓨레드2 섬세커버,,24500,원형탈모,,,,,,,,,,
퓨레드2,흑채,티안나는 흑채 퓨레드2 일체형 ,,24500,원형탈모,,,,,,,,,,
퓨레드2,흑채,티안나는 흑채 퓨레드2 와이드,,24500,원형탈모,,,,,,,,,,
퓨레드2,흑채,티안나는 흑채 퓨레드2 미니,,24500,원형탈모,,,,,,,,,,
퓨레드2,흑채,티안나는 흑채 퓨레드2 분리형,,24500,원형탈모,,,,,,,,,,
퓨레드2,흑채,티안나는 흑채 퓨레드2 바르는 흑채,,24500,원형탈모,,,,,,,,,,
퓨레드2,흑채,흑채 전용 미스트 스프레이 300ml,300,22000,원형탈모,,,,,,,,,,
블랙모아,흑채,블랙모아 헤어컨실러,,34000,원형탈모,,,,,,,,,,
블랙모아,흑채,블랙모아 리필,,63000,원형탈모,,,,,,,,,,
드림헤어,흑채,드림헤어 순간증모제,,35000,원형탈모,,,,,,,,,,
슈퍼밀리언헤어,흑채,슈퍼밀리언헤어 증모제,,58000,원형탈모,,,,,,,,,,
토픽,흑채,토픽 증모제,,45000,원형탈모,,,,,,,,,,
매직멀티헤어,흑채,순간증모제,,16500,원형탈모,,,,,,,,,,
헤어리치,흑채,헤어리치 흑채,,34000,원형탈모,,,,,,,,,,
나노겐,흑채,나노겐 파이버,,46000,원형탈모,,,,,,,,,,
애즈모,흑채,박준의 애즈모 미스트,,13000,원형탈모,,,,,,,,,,
탑센스,흑채,탑센스 흑채 25g 남성 여성 정수리탈모 독일 켈하임피브레스,25,33000,원형탈모,,,,,,,,,,
탑센스,흑채,탑센스 흑채 25g 미스트 200ml 독일 켈하임피브레스,200,43000,원형탈모,,,,,,,,,,
헤닉스,흑채,순간증모제 원형 부분탈모 2통(남여공용),2,11500,원형탈모,,,,,,,,,,
에이스제약,흑채,모모 순간증모제 검정색 3개,3,29000,원형탈모,,,,,,,,,,
오겐블릭,흑채,마이 헤어 커버 쿠션,,22900,원형탈모,,,,,,,,,,
프라임타임,흑채,리얼커버 흑채 24g * 4개,96,24900,원형탈모,,,,,,,,,,
아바타 헤어,흑채,헤어 쿠션 26g,26,15000,원형탈모,,,,,,,,,,
커버모,흑채,탈모용 흑채 커버모 대용랑 23g 6병,138,63000,원형탈모,,,,,,,,,,
지티엘코리아,부분가발,탑피스 아빠가발 가르마가발,,243000,원형탈모,,,,,,,,,,
여우가발,부분가발,원핀 볼륨커버 인모 정수리 부분가발,,21840,원형탈모,,,,,,,,,,
케이엔티,부분가발,KY 인모 가발 남성 여성 정수리 탈모 부분 커버 엠자 맞춤 짧은투블럭 생머리스타일,,32900,원형탈모,,,,,,,,,,
여우가발,부분가발,헤어멀티피스 정수리가발,,35000,원형탈모,,,,,,,,,,
여우가발,부분가발,남성용 슈퍼망불파트 인모 정수리 부분가발,,109000,원형탈모,,,,,,,,,,
미다인터내셔널,부분가발,남자 M자 커버 가발,,29900,원형탈모,,,,,,,,,,
에스엔에스,부분가발,감쪽이 정수리 가발,,31500,원형탈모,,,,,,,,,,
케이엔티,부분가발,짧은투블럭 생머리스타일 가발,,10900,원형탈모,,,,,,,,,,
한미양행,영양제,비오틴을 채우다,,44500,"비오틴, 멀티비타민",,,,,,,,,,
보틀오프네이쳐,영양제,프리티 비오틴,,25100,"비오틴, 비타민C, 판토텐산",,,,,,,,,,
나트롤,영양제,나트롤 비오틴 10000mcg,,13000,비오틴,,,,,,,,,,
신헬스케어,영양제,NR 프리티 비오틴5000,,18400,비오틴,,,,,,,,,,
종근당,영양제,비오틴 90정,,26800,"비오틴, 판토텐산, 아연",,,,,,,,,,
나우푸드,영양제,비오틴 5000mcg,,4500,비오틴,,,,,,,,,,
리얼그램,영양제,유기농100%비오틴,,65000,비오틴,,,,,,,,,,
Dr.Prio,영양제,더다른비오틴,,122500,"비오틴, 판토텐산, 셀렌, 엽산",,,,,,,,,,
vivife,영양제,건강한 유기농 100% 비오틴,,22900,비오틴,,,,,,,,,,
Now Foods,영양제,베타 시토스테롤 식물성 스테롤 180 소프트젤,,30998,베타시토스테롤,,,,,,,,,,
Source Naturals,영양제,초강력 베타 시토스테롤 375mg,,17370,베타시토스테롤,,,,,,,,,,
Life Extension,영양제,PalmettoGuard 톱야자풀/쐐기풀,,25049,"베타시토스테롤, 쏘팔메토",,,,,,,,,,
나우푸드,영양제,180 소프트젤,,49888,"베타시토스테롤, 비타민D, 아연",,,,,,,,,,
샤오미,두피마사지기,두피마사지기 MINI M2,,23290,,,,,,,,,,,
샤오미,두피마사지기,KRIBEE 전동 두피 마사지기,,22570,,,,,,,,,,,
키위코퍼레이션,두피마사지기,전동 두피마사지기,,49100,,,,,,,,,,,
홈케어,두피마사지기,전동 충전식 두피안마기 81086-8,,23900,,,,,,,,,,,
에이블미,두피마사지기,무선 두피 마사지기,,37800,,,,,,,,,,,
한일의료기,두피마사지기,충전식 무선 미니 방수 두피 스켈링 마사지기,,117400,,,,,,,,,,,
더슈,두피마시지기,다슈 데일리 스칼프 스켈일링 브러쉬,,15000,,,,,,,,,,,
루이스벨라,두피마시지기,두피각질케어 전동탈모 루이스벨라,,78000,,,,,,,,,,,
keka,두피마사지기,머리 안마기 건습양용,,58900,,,,,,,,,,,
ANKRIC,두피마사지기,전동 두피마사지기,,56800,,,,,,,,,,,
오아,두피마사지기,스칼프빔 두피관리기,,69000,,,,,,,,,,,
마리아띠,두피마사지기,"두피마사지기, SO-405",,80640,,,,,,,,,,,
뷰리셀,두피마사지기,두피마사지 브러쉬,,9300,,,,,,,,,,,
브레오,두피마사지기,"손지압 두피마사직, SCALP2",,180000,,,,,,,,,,,
에디쁘,두피마사지기,두피 괄사 마사지기,,14000,,,,,,,,,,,
CALA,두피마사지기,헤드마사지기,,5260,,,,,,,,,,,
keka,두피마사지기,머리 지압 안마기 휴대용 미니,,27900,,,,,,,,,,,
제스파,두피마사지기,브레인 두피 마사지기 A380,,49000,,,,,,,,,,,
더줌커머스,두피마사지기,머르가즘 휴대용 간편 마사지기,,8700,,,,,,,,,,,
한일의료기,두피마사지기,HL-HE2000,,97400,,,,,,,,,,,
마리아띠,두피마사지기,전동 두피마사지기 So-805,,145000,,,,,,,,,,,
Smabat,두피마사지기,전동 두피 마사지기,,45900,,,,,,,,,,,
더마퀸,두피마사지기,두피 쿨링스틱,,27500,,,,,,,,,,,
마리아띠,두피마사지기,쿨그린 두피마사지기 SO-801,,250000,,,,,,,,,,,
두피쿨,두피마사지기,두피마사지기,,28600,,,,,,,,,,,
미빌,두피마사지기,탈모는그만 휴대용 두피마사지 브러쉬,,9900,,,,,,,,,,,
미프,헤어토닉,아미노 헤어프로텍터 150ml,150,50000,"엘-멘톨, 살리실릭애씨드, 덱스판테놀",,,,,,,,,,
테라픽,헤어토닉,프리미엄 토탈 헤어토닉,,90000,"엘-멘톨, 살리실릭애씨드, 덱스판테놀",,,,,,,,,,
리우젤,헤어토닉,그루밍 토닉 헤어에센스,,30520,"아르간 오일, 위치하젤 추출물, 쐐기풀 추출물, 로즈마리 추출물, 호스테일 뿌리",,,,,,,,,,
나드,헤어토닉,탈모증상완화 헤어토닉 200ml,200,36000,"덱스판테놀, 나이아신아마이드, 살리실산, 멘톨",,,,,,,,,,
나드,헤어토닉,블랙시드 탈모케어 헤어토닉,,15000,"덱스판테놀,  살리실산, 멘톨",,,,,,,,,,
닥터방기원,헤어토닉,랩 헤어토닉 150ml,150,23800,"어성초 추출물, 소엽잎 추출물, 녹차입 추출물",,,,,,,,,,
에브리톡톡,헤어토닉,헤어토닉 베르가못향 240ml,240,33750,"카퍼트라이펩타이드-1, 알에치-올리고펩타이드-1, 바이오틴, 하이드롤라이즈드케라틴, 알란토인, 동백나무씨오일, 나이아신아마이드",,,,,,,,,,
닥터포헤어,헤어토닉,폴리젠 헤어토닉,,19000,"판테놀, 프로판디올, 알란토인, 아데노신",,,,,,,,,,
아로마티카,헤어토닉,액티브 브이 안티 헤어로스 토닉,,22000,"바이오틴, 하이드롤라이즈드보라단백질",,,,,,,,,,
달리프,해어토닉,달리프 클로렐라 베러 루트 헤어 토닉,,17100,"L멘톨, 살리실산, 덱스판테놀",,,,,,,,,,
메디슈어,헤어토닉,메디슈어 헤어토닉,,9900,"티트리잎 추출물, 병풀추출물, 불가리스쑥추출물",,,,,,,,,,
시세이도,헤어토닉,지성용 뷰티 스파 헤어토닉,,128000,"글리세린, 토코페롤, 비오틴",,,,,,,,,,
클럽맨피노드,헤어토닉,그리즐리스 헤어토닉,,25000,"글리세린, 리모넨",,,,,,,,,,
려,헤어토닉,탈모증상전문케어 두피 헤어토닉,,20000,"멘톨, 판테놀",,,,,,,,,,
플로랜드,클리닉용품,프리미엄 케라틴 체인지 헤어앰플,,12600,"메티오닌, 판테놀",,,,,,,,,,
비에티,클리닉용품,영양 앰플 대용량 부들부들 헤어엠플 1040ml,1040,50000,"프라칵시 오일, 아사이 오일",,,,,,,,,,
미쟝센,클리닉용품,살롱 플러스 클리닉 에센스990ml,990,21900,"리모넨, 트레오닌",,,,,,,,,,
다봉쓰 미용실,클리닉용품,극손상 단백질 트리트먼트 600ml,600,60900,"하이드롤라 이즈드케라틴, 하이드롤라 이즈드콜라겐, 하이드롤 라이즈드실크, 판테놀",,,,,,,,,,
